FacilityId,FacilityName,FacilityDescription,VenId
104000058,DJ Booth,Professional DJ booth with mixer and audio controls.,1
71108106,Catering Area,Designated space for food service and buffet setup.,2
104113709,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,3
102301513,Photo Booth,A fun station with props and camera for guest photos.,4
53112314,Rest Area,Quiet seating space for guests to relax during the event.,5
101101439,Sound System,High-fidelity audio setup for music and announcements.,6
83000137,Sound System,High-fidelity audio setup for music and announcements.,7
42102335,Photo Booth,A fun station with props and camera for guest photos.,8
101000789,Photo Booth,A fun station with props and camera for guest photos.,9
72409888,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,10
21313103,Dance Floor,A spacious area with premium flooring and lighting for dancing.,11
122240667,Dance Floor,A spacious area with premium flooring and lighting for dancing.,12
101111351,Photo Booth,A fun station with props and camera for guest photos.,13
53112343,Photo Booth,A fun station with props and camera for guest photos.,14
122239775,Photo Booth,A fun station with props and camera for guest photos.,15
71922968,Dance Floor,A spacious area with premium flooring and lighting for dancing.,16
81517981,DJ Booth,Professional DJ booth with mixer and audio controls.,17
11307239,Rest Area,Quiet seating space for guests to relax during the event.,18
122041235,Projector and Screen,HD projector and screen setup for videos and presentations.,19
75000734,Sound System,High-fidelity audio setup for music and announcements.,20
101200453,Sound System,High-fidelity audio setup for music and announcements.,21
75901354,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,22
63115437,DJ Booth,Professional DJ booth with mixer and audio controls.,23
111916423,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,24
86500087,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,25
31100160,Sound System,High-fidelity audio setup for music and announcements.,26
31302803,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,27
102307164,Rest Area,Quiet seating space for guests to relax during the event.,28
31904395,Catering Area,Designated space for food service and buffet setup.,29
65106680,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,30
73921226,Sound System,High-fidelity audio setup for music and announcements.,31
71118798,Dance Floor,A spacious area with premium flooring and lighting for dancing.,32
21310591,Rest Area,Quiet seating space for guests to relax during the event.,33
91404369,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,34
72408708,DJ Booth,Professional DJ booth with mixer and audio controls.,35
104113709,Dance Floor,A spacious area with premium flooring and lighting for dancing.,36
21172661,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,37
63114632,Projector and Screen,HD projector and screen setup for videos and presentations.,38
101115098,Catering Area,Designated space for food service and buffet setup.,39
62106036,Dance Floor,A spacious area with premium flooring and lighting for dancing.,40
11100106,DJ Booth,Professional DJ booth with mixer and audio controls.,41
51404419,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,42
61104987,Dance Floor,A spacious area with premium flooring and lighting for dancing.,43
63112809,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,44
104901034,DJ Booth,Professional DJ booth with mixer and audio controls.,45
91311135,Dance Floor,A spacious area with premium flooring and lighting for dancing.,46
124000737,DJ Booth,Professional DJ booth with mixer and audio controls.,47
111105234,DJ Booth,Professional DJ booth with mixer and audio controls.,48
61308770,Projector and Screen,HD projector and screen setup for videos and presentations.,49
44106384,Photo Booth,A fun station with props and camera for guest photos.,50
62201229,Projector and Screen,HD projector and screen setup for videos and presentations.,51
114917908,Rest Area,Quiet seating space for guests to relax during the event.,52
64101194,Sound System,High-fidelity audio setup for music and announcements.,53
113108802,Projector and Screen,HD projector and screen setup for videos and presentations.,54
101105341,Dance Floor,A spacious area with premium flooring and lighting for dancing.,55
72413654,Projector and Screen,HD projector and screen setup for videos and presentations.,56
255072317,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,57
211370590,DJ Booth,Professional DJ booth with mixer and audio controls.,58
31317380,Sound System,High-fidelity audio setup for music and announcements.,59
71108313,Sound System,High-fidelity audio setup for music and announcements.,60
125000105,Photo Booth,A fun station with props and camera for guest photos.,61
242272269,Rest Area,Quiet seating space for guests to relax during the event.,62
73906306,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,63
211170088,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,64
31317021,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,65
113105025,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,66
101105558,Catering Area,Designated space for food service and buffet setup.,67
61120217,DJ Booth,Professional DJ booth with mixer and audio controls.,68
21001318,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,69
111308358,Photo Booth,A fun station with props and camera for guest photos.,70
111908583,DJ Booth,Professional DJ booth with mixer and audio controls.,71
53900225,DJ Booth,Professional DJ booth with mixer and audio controls.,72
42103363,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,73
101005690,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,74
124084672,Sound System,High-fidelity audio setup for music and announcements.,75
101105600,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,76
53103637,Dance Floor,A spacious area with premium flooring and lighting for dancing.,77
91916093,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,78
103110237,Catering Area,Designated space for food service and buffet setup.,79
226071237,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,80
21214325,Rest Area,Quiet seating space for guests to relax during the event.,81
71924584,Catering Area,Designated space for food service and buffet setup.,82
253273901,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,83
111302532,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,84
67014822,Dance Floor,A spacious area with premium flooring and lighting for dancing.,85
111024548,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,86
53207944,Rest Area,Quiet seating space for guests to relax during the event.,87
