FacilityId,FacilityName,FacilityDescription,VenId
1,DJ Booth,Professional DJ booth with mixer and audio controls.,1
2,Catering Area,Designated space for food service and buffet setup.,2
3,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,3
4,Photo Booth,A fun station with props and camera for guest photos.,4
5,Rest Area,Quiet seating space for guests to relax during the event.,5
6,Sound System,High-fidelity audio setup for music and announcements.,6
7,Sound System,High-fidelity audio setup for music and announcements.,7
8,Photo Booth,A fun station with props and camera for guest photos.,8
9,Photo Booth,A fun station with props and camera for guest photos.,9
10,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,10
11,Dance Floor,A spacious area with premium flooring and lighting for dancing.,11
12,Dance Floor,A spacious area with premium flooring and lighting for dancing.,12
13,Photo Booth,A fun station with props and camera for guest photos.,13
14,Photo Booth,A fun station with props and camera for guest photos.,14
15,Photo Booth,A fun station with props and camera for guest photos.,15
16,Dance Floor,A spacious area with premium flooring and lighting for dancing.,16
17,DJ Booth,Professional DJ booth with mixer and audio controls.,17
18,Rest Area,Quiet seating space for guests to relax during the event.,18
19,Projector and Screen,HD projector and screen setup for videos and presentations.,19
20,Sound System,High-fidelity audio setup for music and announcements.,20
21,Sound System,High-fidelity audio setup for music and announcements.,21
22,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,22
23,DJ Booth,Professional DJ booth with mixer and audio controls.,23
24,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,24
25,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,25
26,Sound System,High-fidelity audio setup for music and announcements.,26
27,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,27
28,Rest Area,Quiet seating space for guests to relax during the event.,28
29,Catering Area,Designated space for food service and buffet setup.,29
30,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,30
31,Sound System,High-fidelity audio setup for music and announcements.,31
32,Dance Floor,A spacious area with premium flooring and lighting for dancing.,32
33,Rest Area,Quiet seating space for guests to relax during the event.,33
34,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,34
35,DJ Booth,Professional DJ booth with mixer and audio controls.,35
36,Dance Floor,A spacious area with premium flooring and lighting for dancing.,36
37,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,37
38,Projector and Screen,HD projector and screen setup for videos and presentations.,38
39,Catering Area,Designated space for food service and buffet setup.,39
40,Dance Floor,A spacious area with premium flooring and lighting for dancing.,40
41,DJ Booth,Professional DJ booth with mixer and audio controls.,41
42,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,42
43,Dance Floor,A spacious area with premium flooring and lighting for dancing.,43
44,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,44
45,DJ Booth,Professional DJ booth with mixer and audio controls.,45
46,Dance Floor,A spacious area with premium flooring and lighting for dancing.,46
47,DJ Booth,Professional DJ booth with mixer and audio controls.,47
48,DJ Booth,Professional DJ booth with mixer and audio controls.,48
49,Projector and Screen,HD projector and screen setup for videos and presentations.,49
50,Photo Booth,A fun station with props and camera for guest photos.,50
51,Projector and Screen,HD projector and screen setup for videos and presentations.,51
52,Rest Area,Quiet seating space for guests to relax during the event.,52
53,Sound System,High-fidelity audio setup for music and announcements.,53
54,Projector and Screen,HD projector and screen setup for videos and presentations.,54
55,Dance Floor,A spacious area with premium flooring and lighting for dancing.,55
56,Projector and Screen,HD projector and screen setup for videos and presentations.,56
57,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,57
58,DJ Booth,Professional DJ booth with mixer and audio controls.,58
59,Sound System,High-fidelity audio setup for music and announcements.,59
60,Sound System,High-fidelity audio setup for music and announcements.,60
61,Photo Booth,A fun station with props and camera for guest photos.,61
62,Rest Area,Quiet seating space for guests to relax during the event.,62
63,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,63
64,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,64
65,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,65
66,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,66
67,Catering Area,Designated space for food service and buffet setup.,67
68,DJ Booth,Professional DJ booth with mixer and audio controls.,68
69,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,69
70,Photo Booth,A fun station with props and camera for guest photos.,70
71,DJ Booth,Professional DJ booth with mixer and audio controls.,71
72,DJ Booth,Professional DJ booth with mixer and audio controls.,72
73,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,73
74,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,74
75,Sound System,High-fidelity audio setup for music and announcements.,75
76,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,76
77,Dance Floor,A spacious area with premium flooring and lighting for dancing.,77
78,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,78
79,Catering Area,Designated space for food service and buffet setup.,79
80,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,80
81,Rest Area,Quiet seating space for guests to relax during the event.,81
82,Catering Area,Designated space for food service and buffet setup.,82
83,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,83
84,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,84
85,Dance Floor,A spacious area with premium flooring and lighting for dancing.,85
86,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,86
87,Rest Area,Quiet seating space for guests to relax during the event.,87
88,Rest Area,Quiet seating space for guests to relax during the event.,88
89,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,89
90,Projector and Screen,HD projector and screen setup for videos and presentations.,90
91,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,91
92,DJ Booth,Professional DJ booth with mixer and audio controls.,92
93,Dance Floor,A spacious area with premium flooring and lighting for dancing.,93
94,Projector and Screen,HD projector and screen setup for videos and presentations.,94
95,Rest Area,Quiet seating space for guests to relax during the event.,95
96,Rest Area,Quiet seating space for guests to relax during the event.,96
97,DJ Booth,Professional DJ booth with mixer and audio controls.,97
98,DJ Booth,Professional DJ booth with mixer and audio controls.,98
99,Dance Floor,A spacious area with premium flooring and lighting for dancing.,99
100,Projector and Screen,HD projector and screen setup for videos and presentations.,100
101,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,101
102,Photo Booth,A fun station with props and camera for guest photos.,102
103,Photo Booth,A fun station with props and camera for guest photos.,103
104,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,104
105,Catering Area,Designated space for food service and buffet setup.,105
106,Projector and Screen,HD projector and screen setup for videos and presentations.,106
107,Sound System,High-fidelity audio setup for music and announcements.,107
108,Sound System,High-fidelity audio setup for music and announcements.,108
109,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,109
110,Catering Area,Designated space for food service and buffet setup.,110
111,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,111
112,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,112
113,Catering Area,Designated space for food service and buffet setup.,113
114,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,114
115,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,115
116,Sound System,High-fidelity audio setup for music and announcements.,116
117,Dance Floor,A spacious area with premium flooring and lighting for dancing.,117
118,Catering Area,Designated space for food service and buffet setup.,118
119,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,119
120,Photo Booth,A fun station with props and camera for guest photos.,120
121,Rest Area,Quiet seating space for guests to relax during the event.,121
122,Dance Floor,A spacious area with premium flooring and lighting for dancing.,122
123,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,123
124,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,124
125,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,125
126,Photo Booth,A fun station with props and camera for guest photos.,126
127,Catering Area,Designated space for food service and buffet setup.,127
128,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,128
129,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,129
130,Photo Booth,A fun station with props and camera for guest photos.,130
131,Dance Floor,A spacious area with premium flooring and lighting for dancing.,131
132,Projector and Screen,HD projector and screen setup for videos and presentations.,132
133,Photo Booth,A fun station with props and camera for guest photos.,133
134,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,134
135,Dance Floor,A spacious area with premium flooring and lighting for dancing.,135
136,DJ Booth,Professional DJ booth with mixer and audio controls.,136
137,Projector and Screen,HD projector and screen setup for videos and presentations.,137
138,Dance Floor,A spacious area with premium flooring and lighting for dancing.,138
139,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,139
140,DJ Booth,Professional DJ booth with mixer and audio controls.,140
141,Dance Floor,A spacious area with premium flooring and lighting for dancing.,141
142,Projector and Screen,HD projector and screen setup for videos and presentations.,142
143,DJ Booth,Professional DJ booth with mixer and audio controls.,143
144,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,144
145,Sound System,High-fidelity audio setup for music and announcements.,145
146,Photo Booth,A fun station with props and camera for guest photos.,146
147,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,147
148,Dance Floor,A spacious area with premium flooring and lighting for dancing.,148
149,Projector and Screen,HD projector and screen setup for videos and presentations.,149
150,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,150
151,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,151
152,Photo Booth,A fun station with props and camera for guest photos.,152
153,Rest Area,Quiet seating space for guests to relax during the event.,153
154,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,154
155,Rest Area,Quiet seating space for guests to relax during the event.,155
156,Catering Area,Designated space for food service and buffet setup.,156
157,DJ Booth,Professional DJ booth with mixer and audio controls.,157
158,Projector and Screen,HD projector and screen setup for videos and presentations.,158
159,DJ Booth,Professional DJ booth with mixer and audio controls.,159
160,Catering Area,Designated space for food service and buffet setup.,160
161,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,161
162,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,162
163,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,163
164,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,164
165,Rest Area,Quiet seating space for guests to relax during the event.,165
166,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,166
167,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,167
168,Rest Area,Quiet seating space for guests to relax during the event.,168
169,Catering Area,Designated space for food service and buffet setup.,169
170,DJ Booth,Professional DJ booth with mixer and audio controls.,170
171,Dance Floor,A spacious area with premium flooring and lighting for dancing.,171
172,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,172
173,Photo Booth,A fun station with props and camera for guest photos.,173
174,Projector and Screen,HD projector and screen setup for videos and presentations.,174
175,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,175
176,Sound System,High-fidelity audio setup for music and announcements.,176
177,Photo Booth,A fun station with props and camera for guest photos.,177
178,Sound System,High-fidelity audio setup for music and announcements.,178
179,Stage Lighting,Advanced lighting system to enhance stage visibility and mood.,179
180,Photo Booth,A fun station with props and camera for guest photos.,180
181,Rest Area,Quiet seating space for guests to relax during the event.,181
182,Catering Area,Designated space for food service and buffet setup.,182
183,VIP Lounge,Exclusive seating area with luxurious decor for special guests.,183
184,Bar Counter,Well-equipped bar area for serving drinks and cocktails.,184
